"RegionID","RegionName","SizeRank","1979-03","1979-06","1979-09","1979-12","1980-03","1980-06","1980-09","1980-12","1981-03","1981-06","1981-09","1981-12","1982-03","1982-06","1982-09","1982-12","1983-03","1983-06","1983-09","1983-12","1984-03","1984-06","1984-09","1984-12","1985-03","1985-06","1985-09","1985-12","1986-03","1986-06","1986-09","1986-12","1987-03","1987-06","1987-09","1987-12","1988-03","1988-06","1988-09","1988-12","1989-03","1989-06","1989-09","1989-12","1990-03","1990-06","1990-09","1990-12","1991-03","1991-06","1991-09","1991-12","1992-03","1992-06","1992-09","1992-12","1993-03","1993-06","1993-09","1993-12","1994-03","1994-06","1994-09","1994-12","1995-03","1995-06","1995-09","1995-12","1996-03","1996-06","1996-09","1996-12","1997-03","1997-06","1997-09","1997-12","1998-03","1998-06","1998-09","1998-12","1999-03","1999-06","1999-09","1999-12","2000-03","2000-06","2000-09","2000-12","2001-03","2001-06","2001-09","2001-12","2002-03","2002-06","2002-09","2002-12","2003-03","2003-06","2003-09","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06"
102001,"United States",0,47420.3259628361,48967.0922869303,50031.1429461227,50986.1932938856,51904.9102045053,52704.2458216547,54225.0596906467,54365.2029481989,54650.6799543237,55756.2545416796,56700.9239074016,56638.6380151562,57578.1168898578,58066.0230457801,57531.4024706737,58252.8807225164,59285.788435586,59919.028340081,60412.1249870238,60739.1259213122,61668.2238139728,62477.9404131631,63054.0849164331,63567.9435274577,64460.7079829752,65441.7107858403,66474.61849891,67201.2872417731,68493.7195058653,69921.1045364892,70979.9647046611,72075.1583099761,73497.3528495796,74639.2608740787,75490.5014014326,75968.026575314,77156.6490189972,78693.0343610506,79502.7509602408,80239.8006851448,81158.5175957646,82290.0446382228,84034.0496210942,84729.5754178345,85207.100591716,85554.8634900862,86068.7221011108,85736.5306758019,86447.6279456037,87034.1534309146,87184.6776705076,88409.633551334,89094.7783660334,89074.0164019516,90096.5431329804,90548.1158517596,90584.4492889027,91446.0707982975,92183.1205232015,92946.1227032077,93537.8386795391,94108.7926917887,94492.889027302,94415.0316619952,94913.3187999585,96465.2756150732,97944.5655559016,98717.9487179487,99828.7137963251,1e+05,99900,100800,102500,103500,104700,106100,107700,108100,110100,111300,113100,114900,116800,118400,120700,122800,124500,126700,128700,130900,132200,134200,135200,136900,139600,141900,144200,147300,150200,153200,157200,161100,165300,169500,174200,179100,183900,188200,191400,193600,195000,195600,196300,196100,194500,191700,187500,183300,180200,177900,175500,172000,169200,166900,164400,162800,160300,157900,156100,154200,152600,151600,152000,152500,153900,155400,157300,160100,163100,165200,167000,168800,170600,172400,174100,176600,179500,181600,183800,186600,190300,194200,197200,200400
394913,"New York, NY",1,52563.2590315142,54137.5864719447,55438.8162951576,56434.8193697156,58715.9877017679,59792.3136049193,62330.5149884704,61993.1591083782,64097.617217525,66314.5272867025,69125.8262874712,67969.1775557264,67133.8201383551,70186.0876249039,70218.2167563413,72290.5457340507,74346.8101460415,76595.8493466564,79969.4081475788,82732.5134511914,85575.9415833974,90154.3428132206,94250.8070714835,97785.0115295926,101993.927747886,106556.264411991,111986.087624904,117014.29669485,123118.831667948,130637.048424289,138074.942352037,145223.674096849,153095.311299001,161416.756341276,166975.096079939,170894.850115296,173963.182167563,177866.871637202,176790.545734051,176308.60876249,175971.252882398,174846.733282091,174573.635664873,174332.667179093,172115.757109915,167890.776325903,165930.899308224,162493.082244427,161481.014604151,160244.043043812,159810.299769408,160404.688700999,161946.887009992,161416.756341276,162380.630284397,163424.827056111,163167.794004612,164019.215987702,164597.540353574,165432.897770945,165722.059953882,164709.992313605,163858.570330515,161207.916986933,160645.657186779,162975.019215988,165416.833205227,165722.059953882,168276.325903151,167200,166100,163300,166800,168000,169500,171500,175200,176100,177600,180200,184800,189600,195100,202500,210600,216400,223500,230500,238300,244400,252600,261800,260400,270800,281700,292100,304200,316700,327700,338700,354600,364900,376600,386700,399700,411800,422300,432500,439300,443500,445200,443700,442200,440300,434500,429800,421800,412100,403100,393200,385800,377500,371600,370000,368900,365900,361200,357300,353200,349500,345700,341400,338200,337900,339900,341700,343200,347600,353400,357300,359900,362800,364600,364900,368000,370900,374800,379300,382100,386600,396500,403400,412600,422300
753899,"Los Angeles-Long Beach-Anaheim, CA",2,73394.7799181555,77180.8164487474,80406.5874837808,83785.1581994211,86875.1072961373,90746.0325381775,93632.2487274179,95347.0006986725,97197.5746082443,99200.948198423,102375.786006587,103207.69537878,102664.407625512,102919.073759856,101408.054696077,103649.116678311,104582.892504242,104837.558638587,104939.425092325,105652.49026849,106705.110290448,106959.776424793,108317.995807965,108810.350334365,110372.302625012,111764.477492764,114158.339155604,115550.514023356,116705.000499052,118912.106996706,121713.434474498,124939.205509532,128861.063978441,132698.033735902,138113.9335263,143427.96686296,149675.776025551,156874.338756363,166551.651861463,177790.917257211,186823.076155305,196822.966363909,206143.746880926,211237.069567821,213053.687992814,212799.021858469,212561.333466414,209692.095019463,209012.985327877,206737.967861064,206585.168180457,208554.586286056,207315.211098912,204904.371693782,203444.285856872,200575.047409921,196500.389260405,193410.440163689,190388.402036131,188011.51811558,185549.745483581,178622.826629404,175244.255913764,171526.130352331,169777.422896497,171543.10809462,173631.370396247,174191.635891806,173682.303623116,170100,169900,170800,173500,174200,176100,179300,184100,188500,193300,198900,203800,208400,212400,218000,225500,231800,237600,243500,251200,257800,264100,271900,281600,294400,309700,326000,341100,354200,371100,393500,418900,453700,482600,500200,517800,540800,567600,587400,598000,602900,603200,599000,595600,587300,572100,552900,525100,491500,464400,445400,429500,419500,417300,420100,428200,426700,420300,417400,411700,403200,395100,388800,387400,396400,406800,418300,434800,459000,480700,491200,500400,508100,517000,522900,531300,539500,549200,557600,566500,574800,581400,594500,602300,609800
394463,"Chicago, IL",3,60177.9134812605,61589.446205482,61680.0950960283,62495.9351109454,62029.7408167071,62884.430356144,60281.5122133134,60941.954130151,63531.9224314749,66458.5866119709,66523.335819504,65629.7967555473,63272.9256013425,63221.1262353161,62249.8881223196,63363.5744918889,64153.5148237927,66199.5897818385,67028.3796382622,68051.4171172851,67947.8183852322,69708.9968301324,70123.3917583442,70835.6330412083,71444.2755920194,72532.0622785754,73425.6013425322,74901.8832742868,75588.2248741376,77284.6541115048,79499.0770091367,81752.3494312885,83293.3805705762,86699.1888868171,89094.9095655417,90622.9908633228,92889.2131269812,95802.9274659705,98250.4475107216,99221.6856237181,101293.660264777,103365.634905836,105890.853999627,107159.938467276,108351.323885885,109905.304866679,111329.787432407,111433.38616446,112806.069364162,113906.805892224,114968.692895767,116652.172291628,117649.310087638,118400.400895021,119695.385045683,120679.573000186,121637.861271676,122622.049226179,123878.183852321,124823.522282305,126455.202312139,128035.082975946,128799.123624837,128656.675368264,129498.415066194,131583.33954876,133150.270371061,134393.455155696,135999.235502517,135973.335819504,136102.83423457,137514.366958792,138900,139100,139500,141000,142300,142900,143800,145600,147500,149800,152000,155100,158400,161600,164400,168000,171500,174900,177600,181500,185500,187300,191200,195700,200400,207000,212200,213900,216900,220100,224100,224700,225900,230100,234000,238500,242400,243900,244900,246400,247000,245500,243200,240900,236300,230600,224400,219900,216000,209600,206400,204300,200800,197600,192200,186600,183000,176700,171800,168300,165200,166700,167100,166700,167600,172000,176200,179100,181200,182900,186200,187100,188500,191300,193000,194400,195800,198400,201500,205200,209300,211200
394514,"Dallas-Fort Worth, TX",4,62602.2419385613,65943.2360236596,68777.7237168479,71310.2556763976,73647.9774852127,74660.9902690326,76901.3070024804,78362.3831329899,80583.2188513642,81547.5290975005,83524.8521274566,84537.8649112765,86096.3461171532,85813.871398588,86943.7702728487,89320.4541118107,90012.0301469185,91385.4417095974,92456.8975386377,93732.9040259492,95301.1257393627,96606.3537492845,98768.7464224385,99099.9236786873,99382.3983972524,101408.423964892,102577.2848693,102703.911467277,103707.18374356,105820.873879031,104564.348406793,103999.398969662,104233.171150544,101642.196145774,99333.6958595688,96820.6449150925,96372.581568403,95739.4485785156,93148.4735737455,91638.6949055524,91531.5493226484,91667.9164281626,93060.8090059149,92417.9355084907,92184.1633276092,92525.0810913948,92690.6697195192,91862.7265788972,93128.992558672,93557.5748902881,92914.701392864,94463.442091204,95418.0118298035,94619.2902117916,96148.5498950582,96421.2841060866,96245.9549704255,96976.4930356802,97658.3285632513,98310.9425682122,98729.7843922915,98077.1703873307,97784.9551612288,97385.5943522229,97405.0753672963,98944.0755580996,100502.556763976,101038.284678496,102226.626597977,102100,102600,96000,96000,96300,97500,99300,100900,101200,101800,103500,105400,107700,109600,112900,113800,114800,115500,117700,119100,120400,121300,122800,124000,124800,126200,127200,128100,128500,129100,129600,132500,135800,137700,139000,140100,140900,141800,142500,143300,144500,145600,146400,146600,147400,148700,149400,145200,141900,139900,138200,136100,133900,133700,134700,138600,139900,139000,137400,137100,136200,134700,135000,136300,137500,138500,139400,140900,143800,146900,149500,151000,153300,156300,159200,162100,168300,175200,180800,185300,190900,197500,201600,206000,211000
394974,"Philadelphia, PA",5,41029.156954157,41803.4867909868,42722.3581973582,43692.8515928516,45633.8383838384,46325.573038073,47678.0691530692,48720.8333333333,50042.3562548563,50083.6538461538,51229.662004662,49484.8387723388,51601.3403263403,51353.5547785548,50475.980963481,51394.8523698524,53201.621989122,53707.5174825175,55008.3916083916,56433.1585081585,56474.4560994561,57971.4937839938,59313.6655011655,59860.8585858586,60872.6495726496,62462.6068376068,63711.858974359,65126.3014763015,66705.9343434343,68708.8675213675,71568.7257187257,74562.8010878011,77670.4448329448,81025.8741258741,85651.2043512043,88924.0384615385,91639.3550893551,95345.8139083139,98123.0769230769,99496.2218337218,100580.283605284,101519.803807304,103925.388500388,104689.393939394,105184.965034965,104534.527972028,104359.013209013,103543.385780886,104142.200854701,104513.879176379,104348.688811189,105804.428904429,105959.294871795,105494.696969697,105897.348484848,106475.514763015,106031.565656566,106568.434343434,106558.10994561,107043.356643357,106940.112665113,105845.726495726,104472.581585082,103543.385780886,103243.978243978,104441.608391608,106310.324397824,106351.621989122,107394.386169386,106300,105900,106200,107100,107000,107100,107800,109000,109600,109700,110200,111900,112900,114300,115600,117300,118900,121200,122900,125000,127700,130000,132700,136100,139400,143900,148700,153300,158100,163000,168500,173500,179700,186600,193800,200600,208200,216000,222300,226000,229500,230600,230000,230300,230200,229800,228300,225900,223500,221400,218000,215800,212600,211300,211800,212100,212100,207300,204900,202900,199300,196700,194300,193100,191800,192200,193400,194200,196000,196300,196800,197700,199000,200400,200400,200600,202900,204800,205400,206800,208600,212300,215300,216600,218700
394692,"Houston, TX",6,56301.5193146921,59425.8067992026,60455.3202952427,61077.3180324336,63000.5064382307,65610.0371747212,65016.6370346425,66503.7120844782,64187.306718388,68584.1872743925,69799.5851516621,71751.3711545714,75948.0685307904,77063.3748181671,75511.9551748289,76991.8808253866,77027.6278217768,77463.7411777383,76827.4446419913,76527.1698723129,73967.6849307688,73939.0873336566,74453.8440816766,72416.2652874306,70049.814126394,68541.2908787242,67325.8930014546,65795.9215559506,66603.803674371,67476.0303862938,66167.6903184096,63093.4486288454,62950.4606432843,61870.9013522978,59897.6671515543,58310.5005118259,58546.4306880017,60247.9877161791,60812.7902591455,61198.8578201605,61799.4073595173,63229.2872151285,64566.224880125,64952.29244114,65366.9575992673,66110.4951241851,66989.871235386,66861.182048381,67504.6279834061,68355.4064974947,68777.2210549,69420.6669899251,70671.8118635849,70321.4912989602,71586.9349711761,71486.8433812833,71729.9229567372,72080.243521362,72652.1954636065,73074.0100210118,73081.1594202898,72730.8388556651,72659.3448628845,71629.8313668444,71493.9927805614,72695.0918592748,73009.6654275093,73395.7329885243,74496.740477345,74139.2705134422,74303.7066968374,74768.4176499111,74625.42966435,75926.6203329562,76677.3072571521,77506.6375734066,79243.9415979742,80030.3755185604,81696.1855503475,82675.6532514412,83762.3619417057,85921.4805236787,88016.2545121491,89832.2019287754,90861.7154248155,92291.5952804267,93499.8437584182,94286.2776790043,97274.7265772318,98325.6882711061,99569.6837454878,100620.645439362,101135.402187382,102357.94946393,103666.289531814,105153.36458165,105932.649102958,106568.945638705,107212.39157373,108206.15807338,109314.314961478,110393.874252465,111766.558913852,112467.200043101,114326.043855396,114969.489790421,116635.299822208,118465.54603739,120181.401864124,122154.636064867,123891.940089435,124742.718603523,126487.172027369,128403.211033888,129168.19675664,130219.158450514,131777.727493131,132685.701201444,133486.433920586,133479.284521308,135402.472927105,134365.810031787,133722.364096762,133565.077312645,132700,131700,130100,128300,130000,129200,127000,125600,127800,127600,127800,127900,131000,133800,136800,139100,143700,145700,148600,151300,156100,158600,162400,165000,169100,171700,175200,175900,174400,178400
395209,"Washington, DC",7,65920.0467562829,66521.6442626145,69334.1126047146,70732.8268069355,72913.6177673875,75049.2889148646,77335.3594389246,77876.797194623,80223.0274693162,81170.5435417884,79004.7925189947,81396.1426066628,85005.7276446523,82358.6986167933,82298.5388661601,82779.8168712254,83020.4558737581,84524.449639587,84825.2483927528,85953.2437171245,86389.4019092149,89246.9900642899,90239.625949737,90480.2649522696,92059.45840639,93443.1326709527,95247.9251899474,96300.7208260277,97579.1155269823,99985.5055523086,102782.93395675,105384.843171635,108242.43132671,112228.014806156,117702.552113774,121251.97740113,126365.556204948,131464.095071109,136472.394311319,140217.338788233,144398.441457237,148203.545684785,151166.413403468,152595.207481005,153392.324176895,153963.84180791,153287.044613287,151241.613091759,152128.969413598,152775.686732905,151873.290473407,154264.640561075,154550.399376583,153587.843366452,154505.279563608,154866.238067407,154490.23962595,154670.718877849,154730.878628482,155392.635885447,155603.195012663,153873.60218196,152655.367231638,150925.774400935,150399.376582895,152023.68984999,153858.562244302,154640.639002533,156355.191895578,154400,154100,154700,155800,153300,152400,153500,155200,155800,156100,157100,159500,161500,164700,167400,171400,175700,179300,184000,189700,196400,203600,210300,218300,227600,237700,248100,257600,266000,275600,286800,300600,318300,338900,358700,377300,397500,414000,424300,427300,426200,421100,416600,413200,409200,399700,388300,370900,354700,342900,331500,323800,316600,313000,314700,322700,322200,318800,316100,313100,312400,312200,312100,311800,314400,319200,323600,327900,336800,345200,348600,351800,356100,357200,358900,360800,364300,365800,367700,368600,371200,374300,380200,383700,382600
394856,"Miami-Fort Lauderdale, FL",8,48088.3977900552,49343.6464088398,49865.1933701657,52022.0994475138,53781.2154696133,55540.3314917127,58979.0055248619,61604.4198895028,61233.1491712707,63566.8508287293,60384.5303867403,63080.6629834254,64548.0662983425,64972.3756906077,64132.5966850829,65759.1160220994,67173.4806629834,66616.5745856354,66395.5801104972,66457.4585635359,66262.9834254144,66289.5027624309,65882.8729281768,66475.138121547,66342.5414364641,66086.1878453039,65679.5580110497,66342.5414364641,67014.364640884,69038.6740331492,69462.9834254144,69728.1767955801,69445.3038674033,71310.4972375691,71796.6850828729,73007.7348066298,73741.4364640884,75244.1988950276,76083.9779005525,76959.1160220994,77586.7403314917,78364.6408839779,79381.2154696132,79876.2430939226,80662.9834254144,80097.2375690608,80459.6685082873,79982.320441989,81122.6519337017,81060.773480663,80804.4198895028,82201.1049723757,83288.3977900552,82616.5745856353,83836.4640883978,84022.0994475138,84163.5359116022,85480.6629834254,86594.4751381215,87504.9723756906,88123.7569060773,88070.7182320442,88229.8342541436,88061.8784530387,88397.7900552486,89635.3591160221,91456.3535911602,92172.3756906077,93356.9060773481,92800,92600,93300,94700,95600,96700,97200,98500,99600,99800,101100,102600,103700,105500,107200,109300,111800,114400,116800,120100,124500,128500,132700,137600,141700,147200,153100,158400,163900,169600,176400,184800,196200,209700,224500,241600,261200,280100,293700,301000,305000,304500,301800,297100,288400,278700,267200,248700,230900,213000,194900,180800,168700,161800,159700,158500,154100,149200,144700,143100,142500,140900,139700,142200,145400,148600,152800,157400,163300,168300,174400,179100,185000,192300,199700,205800,213700,221300,226600,229600,235300,242100,246800,249700,253100
394347,"Atlanta, GA",9,48610.8087821355,50106.6804278476,51602.5520735598,53891.5368737099,56230.718708951,56300.9945580784,57806.9056108088,58409.2700319009,59995.4963407769,60959.2794145243,61270.5010320886,63499.2493901295,64342.5595796585,65356.5396884969,65065.396884969,66049.2587727529,66501.032088572,67304.1846500282,68689.6228185401,68920.5291799587,70817.977106399,72062.863576656,71741.6025520736,73578.8140364046,75034.5280540439,73819.7598048414,77152.8429348846,78417.8082191781,80054.231563145,81218.8027772565,82011.9159316945,83497.7481703884,84903.2651529368,86087.9151810846,87101.8952899231,87583.7868267968,88828.6732970539,90204.0720585476,90334.5843497842,90063.5203602927,90675.9241884031,90826.5152936761,92171.7958341152,92844.4361043348,92362.5445674611,91408.8009007318,91870.6136235692,91238.1309814224,92191.8746481516,92422.7810095703,92001.1259148058,93326.3276412085,93958.8102833552,93727.9039219366,95635.391255395,95775.9429536499,95996.8099080503,96960.5929817977,97613.1544379809,98356.0705573278,98586.9769187465,98848.0015012197,99380.0900731845,99631.0752486395,100394.070182023,102201.163445299,103536.40457872,105132.670294614,106327.35972978,107000,106900,107900,109100,110600,112500,114100,115900,117600,119400,121400,123900,126300,129000,131500,134400,136800,139100,141300,143300,145000,146700,148300,149500,150700,152000,153000,154100,155300,156000,157300,158700,159400,160900,162400,164300,165900,167400,169500,170800,172400,173800,174400,172700,173000,172900,171600,168700,164400,159600,154200,151800,147700,145700,144900,145800,144100,139200,134500,128800,125500,122400,120300,119300,119800,121000,122900,124900,128400,133400,137200,139600,142800,145400,147600,150900,154200,158000,161300,164000,166400,169900,173800,176700,179900
