SUMLEV,STATE,COUNTY,CTYNAME,HUESTBASE2000,HUEST_2000,HUEST_2001,HUEST_2002,HUEST_2003,HUEST_2004,HUEST_2005,HUEST_2006,HUEST_2007,HUEST_2008,HUEST_2009,HUCENSUS2010,HUEST_2010
040,01,,,1963785,1969913,1997451,2015874,2033348,2056608,2079300,2106402,2132514,2152419,2165712,2171853,2174380
050,01,001,Autauga County,17733,17845,18344,18903,19333,19783,20275,20744,21214,21605,21940,22135,22155
050,01,003,Baldwin County,74283,74907,77532,79386,81268,84785,89106,95270,100252,102011,103677,104061,104252
050,01,005,Barbour County,12464,12481,12580,12527,12452,12373,12273,12200,12106,12009,11911,11829,11828
050,01,007,Bibb County,8330,8362,8520,8591,8645,8703,8735,8783,8825,8863,8963,8981,8982
050,01,009,Blount County,21139,21235,21682,21928,22147,22500,22757,23022,23290,23500,23733,23887,23890
050,01,011,Bullock County,4675,4679,4710,4696,4677,4665,4628,4598,4595,4555,4521,4493,4492
050,01,013,Butler County,9955,9991,10159,10154,10139,10134,10096,10103,10065,10034,10003,9964,9963
050,01,015,Calhoun County,51177,51309,51920,52185,52385,52543,52620,52790,52896,53171,53254,53289,53319
050,01,017,Chambers County,16266,16290,16415,16444,16454,16461,16439,16421,16393,17055,17025,17004,17003
050,01,019,Cherokee County,13990,14070,14441,14682,14908,15140,15304,15499,15786,15959,16147,16267,16268
050,01,021,Chilton County,17654,17725,18063,18281,18418,18557,18683,18889,19050,19157,19240,19278,19281
050,01,023,Choctaw County,7840,7844,7881,7839,7783,7732,7645,7576,7494,7405,7330,7269,7269
050,01,025,Clarke County,12630,12650,12766,12779,12774,12810,12767,12736,12707,12667,12677,12638,12638
050,01,027,Clay County,6606,6622,6704,6731,6746,6770,6797,6800,6792,6783,6781,6776,6775
050,01,029,Cleburne County,6193,6222,6360,6417,6461,6511,6534,6595,6644,6665,6702,6718,6718
050,01,031,Coffee County,19844,19892,20112,20254,20413,20615,20926,21396,21668,22031,22244,22330,22365
050,01,033,Colbert County,24979,25016,25190,25287,25369,25456,25459,25511,25584,25712,25779,25758,25777
050,01,035,Conecuh County,7256,7265,7318,7306,7285,7268,7219,7179,7132,7126,7128,7093,7093
050,01,037,Coosa County,6115,6137,6244,6291,6327,6369,6377,6439,6447,6452,6470,6478,6477
050,01,039,Covington County,18577,18604,18750,18777,18783,18793,18792,18793,18756,18895,18862,18829,18829
050,01,041,Crenshaw County,6642,6656,6731,6751,6759,6777,6759,6788,6773,6756,6750,6735,6734
050,01,043,Cullman County,35204,35309,35806,36012,36300,36505,36588,36721,36793,36919,37014,37054,37062
